date,PM2.5
2019-01-01,150.0
2019-01-02,128.0
2019-01-03,130.0
2019-01-04,131.0
2019-01-05,93.0
2019-01-06,115.0
2019-01-07,131.0
2019-01-08,130.0
2019-01-09,130.0
2019-01-10,149.0
2019-01-11,151.0
2019-01-12,155.0
2019-01-13,136.0
2019-01-14,147.0
2019-01-15,129.0
2019-01-16,151.0
2019-01-17,149.0
2019-01-18,135.0
2019-01-19,121.0
2019-01-20,89.0
2019-01-21,104.0
2019-01-22,129.0
2019-01-23,110.0
2019-01-24,101.0
2019-01-25,83.0
2019-01-26,93.0
2019-01-27,83.0
2019-01-28,81.0
2019-01-29,74.0
2019-01-30,92.0
2019-01-31,84.0
2019-02-01,112.0
2019-02-02,103.0
2019-02-03,83.0
2019-02-04,91.0
2019-02-05,95.0
2019-02-06,111.0
2019-02-07,116.0
2019-02-08,110.0
2019-02-09,129.0
2019-02-10,102.0
2019-02-11,88.0
2019-02-12,100.0
2019-02-13,108.0
2019-02-14,101.0
2019-02-15,112.0
2019-02-16,115.0
2019-02-17,104.0
2019-02-18,115.0
2019-02-19,130.0
2019-02-20,113.0
2019-02-21,107.0
2019-02-22,116.0
2019-02-23,136.0
2019-02-24,134.0
2019-02-25,123.0
2019-02-26,142.0
2019-02-27,143.0
2019-02-28,144.0
2019-03-01,157.0
2019-03-02,133.0
2019-03-03,107.0
2019-03-04,133.0
2019-03-05,141.0
2019-03-06,149.0
2019-03-07,170.0
2019-03-08,162.0
2019-03-09,153.0
2019-03-10,120.0
2019-03-11,124.0
2019-03-12,150.0
2019-03-13,150.0
2019-03-14,141.0
2019-03-15,140.0
2019-03-16,143.0
2019-03-17,146.0
2019-03-18,136.0
2019-03-19,130.0
2019-03-20,127.0
2019-03-21,145.0
2019-03-22,137.0
2019-03-23,144.0
2019-03-24,145.0
2019-03-25,147.0
2019-03-26,152.0
2019-03-27,173.0
2019-03-28,170.0
2019-03-29,154.0
2019-03-30,161.0
2019-03-31,147.0
2019-04-01,154.0
2019-04-02,152.0
2019-04-03,158.0
2019-04-04,221.0
2019-04-05,131.0
2019-04-06,136.0
2019-04-07,159.0
2019-04-08,179.0
2019-04-09,141.0
2019-04-10,145.0
2019-04-11,146.0
2019-04-12,144.0
2019-04-13,143.0
2019-04-14,133.0
2019-04-15,143.0
2019-04-16,129.0
2019-04-17,220.0
2019-04-18,324.0
2019-04-19,145.0
2019-04-20,92.0
2019-04-21,75.0
2019-04-22,108.0
2019-04-23,92.0
2019-04-24,117.0
2019-04-25,127.0
2019-04-26,131.0
2019-04-27,138.0
2019-04-28,135.0
2019-04-29,124.0
2019-04-30,128.0
2019-05-01,85.0
2019-05-02,109.0
2019-05-03,121.0
2019-05-04,134.0
2019-05-05,131.0
2019-05-06,118.0
2019-05-07,107.0
2019-05-08,
2019-05-09,70.0
2019-05-10,105.0
2019-05-11,117.0
2019-05-12,86.0
2019-05-13,86.0
2019-05-14,95.0
2019-05-15,104.0
2019-05-16,97.0
2019-05-17,117.0
2019-05-18,130.0
2019-05-19,107.0
2019-05-20,126.0
2019-05-21,114.0
2019-05-22,103.0
2019-05-23,95.0
2019-05-24,90.0
2019-05-25,79.0
2019-05-26,74.0
2019-05-27,83.0
2019-05-28,100.0
2019-05-29,77.0
2019-05-30,93.0
2019-05-31,100.0
2019-06-01,98.0
2019-06-02,176.0
2019-06-03,
2019-06-04,
2019-06-05,
2019-06-06,
2019-06-07,
2019-06-08,
2019-06-09,
2019-06-10,
2019-06-11,74.0
2019-06-12,77.0
2019-06-13,80.0
2019-06-14,86.0
2019-06-15,99.0
2019-06-16,85.0
2019-06-17,103.0
2019-06-18,116.0
2019-06-19,108.0
2019-06-20,95.0
2019-06-21,102.0
2019-06-22,77.0
2019-06-23,76.0
2019-06-24,89.0
2019-06-25,113.0
2019-06-26,100.0
2019-06-27,100.0
2019-06-28,110.0
2019-06-29,109.0
2019-06-30,86.0
2019-07-01,91.0
2019-07-02,94.0
2019-07-03,86.0
2019-07-04,104.0
2019-07-05,91.0
2019-07-06,76.0
2019-07-07,
2019-07-08,
2019-07-09,82.0
2019-07-10,76.0
2019-07-11,81.0
2019-07-12,93.0
2019-07-13,87.0
2019-07-14,75.0
2019-07-15,72.0
2019-07-16,88.0
2019-07-17,101.0
2019-07-18,99.0
2019-07-19,80.0
2019-07-20,68.0
2019-07-21,75.0
2019-07-22,72.0
2019-07-23,84.0
2019-07-24,91.0
2019-07-25,82.0
2019-07-26,91.0
2019-07-27,91.0
2019-07-28,91.0
2019-07-29,84.0
2019-07-30,84.0
2019-07-31,81.0
2019-08-01,71.0
2019-08-02,68.0
2019-08-03,68.0
2019-08-04,
2019-08-05,
2019-08-06,
2019-08-07,
2019-08-08,
2019-08-09,
2019-08-10,
2019-08-11,
2019-08-12,
2019-08-13,
2019-08-14,71.0
2019-08-15,60.0
2019-08-16,66.0
2019-08-17,65.0
2019-08-18,71.0
2019-08-19,70.0
2019-08-20,64.0
2019-08-21,68.0
2019-08-22,70.0
2019-08-23,68.0
2019-08-24,64.0
2019-08-25,59.0
2019-08-26,60.0
2019-08-27,
2019-08-28,
2019-08-29,
2019-08-30,
2019-08-31,
2019-09-01,
2019-09-02,
2019-09-03,
2019-09-04,
2019-09-05,89.0
2019-09-06,58.0
2019-09-07,53.0
2019-09-08,
2019-09-09,49.0
2019-09-10,80.0
2019-09-11,
2019-09-12,
2019-09-13,
2019-09-14,
2019-09-15,
2019-09-16,111.0
2019-09-17,60.0
2019-09-18,65.0
2019-09-19,69.0
2019-09-20,60.0
2019-09-21,83.0
2019-09-22,59.0
2019-09-23,73.0
2019-09-24,67.0
2019-09-25,53.0
2019-09-26,59.0
2019-09-27,70.0
2019-09-28,69.0
2019-09-29,75.0
2019-09-30,69.0
2019-10-01,71.0
2019-10-02,57.0
2019-10-03,80.0
2019-10-04,
2019-10-05,92.0
2019-10-06,67.0
2019-10-07,71.0
2019-10-08,76.0
2019-10-09,65.0
2019-10-10,223.0
2019-10-11,91.0
2019-10-12,83.0
2019-10-13,63.0
2019-10-14,65.0
2019-10-15,72.0
2019-10-16,64.0
2019-10-17,60.0
2019-10-18,62.0
2019-10-19,57.0
2019-10-20,63.0
2019-10-21,79.0
2019-10-22,62.0
2019-10-23,53.0
2019-10-24,53.0
2019-10-25,60.0
2019-10-26,58.0
2019-10-27,66.0
2019-10-28,84.0
2019-10-29,76.0
2019-10-30,65.0
2019-10-31,60.0
2019-11-01,68.0
2019-11-02,72.0
2019-11-03,69.0
2019-11-04,90.0
2019-11-05,105.0
2019-11-06,112.0
2019-11-07,122.0
2019-11-08,104.0
2019-11-09,88.0
2019-11-10,96.0
2019-11-11,111.0
2019-11-12,80.0
2019-11-13,86.0
2019-11-14,72.0
2019-11-15,72.0
2019-11-16,70.0
2019-11-17,76.0
2019-11-18,81.0
2019-11-19,75.0
2019-11-20,70.0
2019-11-21,94.0
2019-11-22,95.0
2019-11-23,79.0
2019-11-24,50.0
2019-11-25,49.0
2019-11-26,50.0
2019-11-27,68.0
2019-11-28,68.0
2019-11-29,78.0
2019-11-30,88.0
2019-12-01,64.0
2019-12-02,68.0
2019-12-03,90.0
2019-12-04,116.0
2019-12-05,137.0
2019-12-06,148.0
2019-12-07,125.0
2019-12-08,90.0
2019-12-09,91.0
2019-12-10,83.0
2019-12-11,96.0
2019-12-12,94.0
2019-12-13,105.0
2019-12-14,90.0
2019-12-15,81.0
2019-12-16,89.0
2019-12-17,90.0
2019-12-18,125.0
2019-12-19,108.0
2019-12-20,122.0
2019-12-21,132.0
2019-12-22,129.0
2019-12-23,130.0
2019-12-24,115.0
2019-12-25,111.0
2019-12-26,128.0
2019-12-27,124.0
2019-12-28,116.0
2019-12-29,109.0
2019-12-30,
2019-12-31,
