date,PM2.5
2021-04-16,93.0
2021-04-17,111.0
2021-04-18,143.0
2021-04-19,134.0
2021-04-20,147.0
2021-04-21,151.0
2021-04-22,125.0
2021-04-23,97.0
2021-04-24,86.0
2021-04-25,103.0
2021-04-26,130.0
2021-04-27,128.0
2021-04-28,131.0
2021-04-29,140.0
2021-04-30,135.0
2021-05-01,143.0
2021-05-02,117.0
2021-05-03,100.0
2021-05-04,113.0
2021-05-05,120.0
2021-05-06,111.0
2021-05-07,102.0
2021-05-08,94.0
2021-05-09,82.0
2021-05-10,91.0
2021-05-11,104.0
2021-05-12,87.0
2021-05-13,66.0
2021-05-14,62.0
2021-05-15,54.0
