date,pm25,pm10,o3,no2,so2,co
2021/5/1, 143, 52, 12, 6, 2, 
2021/5/2, 117, 45, 11, 7, 2, 
2021/5/3, 100, 55, 11, 7, 1, 
2021/5/4, 113, 58, 12, 7, 2, 
2021/5/5, 120, 51, 12, 6, 2, 
2021/5/6, 111, 47, 10, 7, 2, 2
2021/5/7, 102, 46, 11, 6, 2, 4
2021/5/8, 94, 38, 11, 6, 2, 4
2021/5/9, 82, 36, 11, 6, 2, 4
2021/5/10, 91, 40, 11, 6, 2, 4
2021/5/11, 104, 41, 11, 6, 2, 4
2021/5/12, 87, 27, 11, 6, 1, 4
2021/5/13, 66, 24, 13, 5, 2, 4
2021/5/14, 62, 26, 11, 4, , 3
2021/5/15, 54, , , , , 
2021/4/1, 115, 75, 13, 13, 2, 6
2021/4/2, 224, 92, 17, 11, 1, 6
2021/4/3, 525, 91, 15, 9, 2, 4
2021/4/4, 440, 100, 15, 10, 2, 6
2021/4/5, 169, 95, 20, 10, 2, 7
2021/4/6, 113, 90, 20, 11, 2, 7
2021/4/7, 118, 96, 19, 12, 2, 7
2021/4/8, 118, 89, 21, 12, 2, 8
2021/4/9, 120, 86, 21, 11, 2, 7
2021/4/10, 118, 59, 17, 9, 1, 5
2021/4/11, 118, 59, 12, 9, 2, 5
2021/4/12, 118, 52, 13, 9, 2, 4
2021/4/13, 118, 52, 12, 10, 2, 5
2021/4/14, 118, 45, 17, 10, 2, 5
2021/4/15, 110, 66, 19, 9, 2, 6
2021/4/16, 93, 91, 38, 11, 2, 9
2021/4/17, 111, 59, 37, 8, 2, 5
2021/4/18, 143, 91, 44, 10, 3, 6
2021/4/19, 134, 66, 48, 9, 2, 5
2021/4/20, 147, 75, 21, 10, 2, 6
2021/4/21, 151, 70, 13, 9, 2, 6
2021/4/22, 125, 52, 13, 7, 2, 5
2021/4/23, 97, 46, 11, 7, 2, 5
2021/4/24, 86, 61, 11, 7, 2, 6
2021/4/25, 103, 78, 12, 9, 2, 7
2021/4/26, 130, 82, 11, 10, 3, 7
2021/4/27, 128, 85, 13, 9, 3, 7
2021/4/28, 131, 76, 16, 8, 3, 5
2021/4/29, 140, 67, 13, 8, 2, 5
2021/4/30, 135, 67, 13, 7, 2, 3
2021/3/1, 97, 57, 21, 11, 2, 7
2021/3/2, 97, 86, 15, 12, 2, 6
2021/3/3, 142, 78, 18, 14, 2, 6
2021/3/4, 135, 67, 15, 15, 2, 6
2021/3/5, 118, 69, 12, 13, 2, 7
2021/3/6, 112, 66, 18, 14, 1, 6
2021/3/7, 125, 58, 16, 15, 2, 6
2021/3/8, 102, 57, 18, 15, 2, 6
2021/3/9, 102, 56, 15, 14, 3, 6
2021/3/10, 91, 54, 15, 12, 2, 5
2021/3/11, 94, 62, 16, 14, 2, 5
2021/3/12, 113, 67, 19, 14, 2, 6
2021/3/13, 110, 58, 17, 12, 2, 5
2021/3/14, 105, 62, 19, 13, 3, 15
2021/3/15, 117, 70, 17, 14, 2, 59
2021/3/16, 131, 73, 20, 17, 2, 45
2021/3/17, 138, 84, 20, 19, 2, 7
2021/3/18, 150, 83, 19, 21, 2, 8
2021/3/19, 141, 79, 21, 18, 2, 7
2021/3/20, 393, 77, 21, 16, 2, 6
